,Baso,Eos,Erythroid,Lymphoid,Mast,Meg,Monocyte,Neutrophil,Undifferentiated,n
1110002J07Rik,0.5678076405326556,15.743338504242862,7.353401347825628,15.19261796888338,0.5027944257213302,14.589414379549586,0.18457691313952146,0.27607491590787836,0.2266889646766978,10
1110032F04Rik,0.6072503761608086,15.880324030213997,9.382898169907742,14.290545102531679,0.8212496245440742,14.654368497905901,0.2860245186514258,0.26421880627334166,0.12354506226858142,10
1500002F19Rik,0.4635151958317799,18.27235054729764,7.037173627430806,11.129386749857936,0.5260554087682504,13.043504596053225,0.24331224423749667,0.2531203093847015,0.16161053577212608,10
1500026H17Rik,0.5478931277361281,16.42692076977146,7.037173627430806,15.175157759031197,0.42203123251282115,12.9588796131708,0.26002228710551684,0.3109556931427429,0.182553023130913,10
1600010M07Rik,0.558649805407048,16.38944823057279,9.382898169907742,17.870014862690972,0.43903952537775953,12.667401852652631,0.24633231081494764,0.3124913453286698,0.21614717438317654,10
1700001C19Rik,0.5152811889900576,16.442264944481234,7.353401347825628,11.675827284851449,0.3667813159879139,9.714489458125804,0.277892133825813,0.291623078009203,0.23237388346294918,10
1700001O22Rik,0.6138560184451324,17.059041806772335,9.382898169907742,16.74536146059694,0.44950411955157926,12.916189955310813,0.22055173682452853,0.33311344318035896,0.17392551664914102,10
1700011I03Rik,0.5326405533049635,18.268845512015975,7.353401347825628,15.190058031261838,0.6631023769461125,13.082355805470783,0.26389210904355326,0.2664141452161342,0.182691919663592,10
1700016F12Rik,0.4146190572228498,19.33773862907959,7.353401347825628,15.49341353728482,0.5054271199007395,13.067006861539726,0.259721879615422,0.36774759905062915,0.10080522562635495,10
1700016K19Rik,0.6118430424063599,18.136117514512254,7.353401347825628,13.048280869845344,0.5990916325790144,10.758185365013087,0.3483073097149928,0.30775163078987994,0.17111963538138025,10
1700025K24Rik,0.5419358217211244,21.692002971283436,7.353401347825628,15.351973287649813,0.46188678927660254,12.667401852652631,0.19801716573701555,0.34830388224137604,0.1885301693130136,10
1700029I15Rik,0.5464775530972801,18.330491503227407,7.353401347825628,16.724191610475486,0.5364067175008704,10.893494090687422,0.21968423181952,0.2689625410980609,0.1650754987819709,10
