,Baso,Ccr7_DC,Eos,Erythroid,Lymphoid,Mast,Meg,Monocyte,Neutrophil,Undifferentiated,n
1110002J07Rik,0.3946710010746591,7.037173627430806,18.30821232544223,0.0,7.806084001667809,0.49730064338701496,18.012476757903393,0.25200855435405334,0.2797304353349661,0.21486286641240115,10
1110032F04Rik,0.4671178640291942,7.037173627430806,15.352916094919832,0.0,7.7961079180886985,0.5383118812124769,19.836201310510194,0.2592607911650687,0.27799237475604893,0.15461121232803668,10
1500002F19Rik,0.3460356677110528,7.037173627430806,16.55806318834872,0.0,7.40766641422961,0.5876766214067117,17.828651555687205,0.2891158011805713,0.2941430563331242,0.21417125286165864,10
1500026H17Rik,0.4862691718700538,7.037173627430806,14.287110121347496,0.0,7.520729080822155,0.5390565564421649,15.417077325168597,0.24557263209335436,0.2927687700408516,0.16763507345669468,10
1600010M07Rik,0.3626098869003853,7.037173627430806,14.256742041579633,0.0,7.922896002477785,0.6226439122864169,18.575201961216333,0.18581740576380126,0.3738316127777494,0.2030452273464451,10
1700001C19Rik,0.46976833148505975,7.037173627430806,12.835019604032311,0.0,7.875139725177827,0.7484065867156101,18.012476757903393,0.2345226271116264,0.24186492952514826,0.13867974408864844,10
1700001O22Rik,0.5135070641962329,7.037173627430806,18.446085806263678,0.0,7.8205557548927285,0.5425079134055695,16.700902836707396,0.2996469018989705,0.2857870952980245,0.16196950619814038,10
1700011I03Rik,0.42418517755699303,7.037173627430806,18.30821232544223,0.0,7.808312486547677,0.6910467781960133,19.948907601712147,0.2050494617303218,0.3282014704299166,0.19292009688194645,10
1700016F12Rik,0.4416715070720263,7.037173627430806,16.860667850671682,0.0,7.889150892974312,0.45866995019427625,18.833167325594694,0.23913578997550625,0.3627118640658878,0.18537056354381556,10
1700016K19Rik,0.34328015451487653,7.037173627430806,16.55806318834872,0.0,7.764751976673787,0.4593600623079955,18.719380070059948,0.3052625182716821,0.26692588416137025,0.2212287616301336,10
1700025K24Rik,0.4352558192894879,7.037173627430806,14.839034508292352,0.0,7.552920835206738,0.6231949514607681,16.953673081111866,0.27745390756726945,0.3551808915386976,0.2159941272762037,10
1700029I15Rik,0.44951933966512325,7.037173627430806,17.83951756789762,0.0,7.878272719943927,0.9296216699351542,16.835272788033873,0.21379881094254555,0.2652495564209641,0.1952925748918543,10
1700030C14Rik,0.4663571652113721,7.037173627430806,14.839034508292352,0.0,7.696307164052921,0.5578465563737771,19.836201310510194,0.2868330553666815,0.30652031054536255,0.22452781685441942,10
1700041G16Rik,0.43823371497705876,7.037173627430806,15.004738117338213,0.0,7.615527675887222,0.5947123611496486,15.982900325984305,0.23162489077823378,0.2962260640519553,0.20989593607592852,10
1700047M11Rik,0.34365004441294744,7.037173627430806,19.74284412729458,0.0,7.857558421043535,0.6791076815963083,18.632246852269958,0.23570534399761034,0.3109376613221231,0.17913209104807598,10
