,Baso,Eos,Lymphoid,Mast,Meg,Monocyte,Neutrophil,Undifferentiated,n
1110002J07Rik,0.14718683068934194,16.87894737952551,10.739512767709362,12.922193114912275,0.4867465636865748,0.2972618794524806,0.35038029940294635,0.17961972792417846,10
1110032F04Rik,0.29318626307394635,10.987189777302692,13.026240788021111,13.134293385476695,0.5387197843426799,0.3664213873484832,0.26812725576394814,0.20528428950976096,10
1500002F19Rik,0.29505210229098916,10.913869651320978,14.474501054175445,7.542989098799592,0.4649514836958211,0.36284616319099616,0.305590593565639,0.2729702545653677,10
1500026H17Rik,0.27493849638884077,15.979646951347313,12.891937278807232,10.891772377164383,0.47583189199181225,0.35597923062544784,0.26391663115344616,0.25199686010362715,10
1600010M07Rik,0.21901761135891423,16.012770323603622,14.336515588177399,11.124888887607321,0.4898312557808904,0.28959852746627635,0.273995464544487,0.198049911190533,10
1700001C19Rik,0.23206780886150483,16.731815317208707,12.83374035925283,10.758801311233233,0.5049017564331588,0.30224790809237306,0.295799601954465,0.22830478611681573,10
1700001O22Rik,0.21468795149387562,19.75789503689493,14.458039580860083,11.111912965624585,0.49573444867876393,0.2550804822814899,0.26418131174143245,0.1628006566278634,10
1700011I03Rik,0.2642563728186287,19.95245193103377,13.077494041553964,10.528193219003342,0.5118292289950851,0.3504680058261805,0.2577907922108207,0.17880522363350887,10
1700016F12Rik,0.25744945563574045,17.731108548570365,15.411613186048381,7.41772307083733,0.5275993656953205,0.2357700517161372,0.2228645989354478,0.17103331830532698,10
1700016K19Rik,0.2397139665705267,11.883457773573136,15.352916094919832,11.107237615856885,0.4802582741300467,0.29571939986837203,0.3057737835508065,0.25121958285332346,10
1700025K24Rik,0.2247437197864613,18.784610512117585,14.285996209229012,7.163948264246469,0.5261751162212911,0.36947436235479997,0.27023091429448237,0.24776122399658007,10
1700029I15Rik,0.2361937651238738,15.545805162693638,13.069437214955158,10.748576870778594,0.4615822956519355,0.28913397088232234,0.27123129801992685,0.17355931815113684,10
1700030C14Rik,0.2418688398381115,19.168828932723027,16.74293712899217,14.631449804955162,0.4823815084015097,0.3556731780839709,0.2319116084776931,0.1806677887207575,10
1700041G16Rik,0.1653803315346607,16.848304841818607,13.049041003913356,0.9147323744538887,0.4922624181220399,0.29018516876495276,0.2575984014355345,0.19909047398047514,10
1700047M11Rik,0.16391865949718318,14.185632196605082,12.6298162020428,11.265111420344281,0.5700873147547718,0.25281384439999066,0.2332893413435425,0.17958440898843542,10
1700051A21Rik,0.18441538649408382,16.713374869817958,16.60129347466263,11.128247772638318,0.5959694671207604,0.3340937164022406,0.29187900754628243,0.25208705006677357,10
1700056E22Rik,0.2730581665175546,18.444881055198536,14.225528090196445,13.379776795721002,0.5502137646102673,0.3479682059405949,0.2474726207087594,0.14312089653126822,10
1700061G19Rik,0.22914452418232847,16.709243945416233,16.88852745624289,7.437137420497621,0.5186459288766857,0.3640744639193705,0.291555821487772,0.16681868785860848,10
1700061H18Rik,0.3261531060549008,18.710412099256825,13.060932851735837,11.11498949892041,0.5358929568313654,0.3288235373550491,0.33364765924491474,0.2208764934434944,10
1700099I09Rik,0.25748759974990626,22.58187393994456,10.740723104859828,13.360002625996916,0.48611570686849503,0.30441931606422695,0.26930328153619104,0.19072084967035002,10
1700102P08Rik,0.1971602607062661,15.430169177130796,15.19101088756233,10.058938104475159,0.5417502829707634,0.3431196039913508,0.2520758172166033,0.17558557358156096,10
1700112J16Rik,0.3117434726385965,17.731108548570365,14.466822685345377,7.309368989323873,0.5130793465570564,0.31651456061169314,0.279803145436312,0.2602303379997774,10
1810019N24Rik,0.22841235854193226,15.88840853148253,15.433231951175308,14.919373972633965,0.5591091980924737,0.2637096064093061,0.2206239681239019,0.24686802818383313,10
1810041L15Rik,0.22754414402209697,18.448796208511506,14.458039580860083,13.265658886441011,0.446927380834482,0.3154316624072027,0.24974605359159613,0.18186198114222332,10
2010005H15Rik,0.1840017062736135,18.65251648599586,15.198323392537077,14.373810074942957,0.4898757510632049,0.3255601723417641,0.2222883598800112,0.19771726469035136,10
2010007H06Rik,0.2746213257515314,19.983992835074933,14.436832638423766,11.13284652335044,0.49697624946768204,0.3677789719302804,0.29534026604518365,0.24453227239785894,10
2010300C02Rik,0.22604424771723744,15.191010887562333,16.603951900361366,14.43835122431393,0.547381952172133,0.3098081365840947,0.2642308151031597,0.19769976581326232,10
2200002D01Rik,0.18819003816800645,15.163548371538763,15.176654041750313,7.599478106714093,0.5819254989648069,0.3290616178365131,0.26091313377772973,0.1006050314042848,10
