,0,1,2,3,4
Actb,0.5428258642567461,1.3407438847634712,0.8687364318947634,0.602033941748242,0.8592652873540236
Actg1,0.5265648268607733,1.0111003642876113,1.114493731670666,0.3604405344671438,0.5361401231158156
Adam8,0.7204152216687728,1.1140042695380994,0.4749530192997931,0.4694004801330784,0.6161904515945673
Adgre1,0.67561699794076,0.8671012471831079,0.6014106752862931,0.5436010639336993,0.5656976193939924
Adora2b,0.6420578055567682,0.8600166120965603,0.794242326690662,0.6149650282598126,0.7753079560677366
Akr1c12,0.4362549955900182,0.4307911009977448,0.5917050444156873,0.7003324033960011,0.5189726471062646
Akr1c13,1.2438804098103744,1.1509181843545528,1.2763936545477077,1.2392175476541891,1.2835577678900854
Akr1c18,1.321700935860051,1.798351120494336,1.930452726037069,1.032843762727249,1.2725005434562746
Alox5,1.1785289215855133,1.262685408958672,1.7775204685216843,1.2027457180269432,1.2404945169003867
Alox5ap,0.6969344782027511,1.1818478693188097,0.5933968496913332,0.4294551470193813,0.7893469937696952
Alox8,0.5980073155063359,0.822750199624925,0.807847934030155,0.4857547775157675,0.6680087404293331
Anxa6,0.8999742364702834,1.131725703580613,1.228168067047628,0.8051404063344128,0.8342421544538622
App,-0.3986873426728998,-0.395005391549999,-0.5821512897840796,-0.5775390643799071,-0.3765518214744116
Aqp9,1.1247345719254058,1.3547885083668163,1.3325916584462003,0.9670270829032562,1.0876587715709352
Arl4c,0.7103699977193443,0.8880457098267783,0.5204852304471179,0.5460695588422004,0.5441397058511663
Asb2,0.4533944819343763,0.4517245833098557,0.5839706756055157,0.4246826730797123,0.4818158480781281
BC100530,-0.6506683215575821,-2.0850165284248763,-0.6344306564719225,-1.323576289068559,-0.6507104381206429
C1qbp,-0.3821935279770977,-0.55870068089923,-0.4847014975623335,-0.2389321774831108,-0.4516983371153941
C3ar1,0.3961179182532657,0.5593617765197367,0.8085382892339827,0.3412035732634742,0.4243274830777394
Ccl3,0.7434990957188803,1.3183655004991146,1.008765538845322,0.85295810834199,0.9002442089809607
Ccl4,0.7665469991277752,1.416229576690541,1.0197425990753866,0.9201819040386144,0.6940055957147941
Ccl6,1.51286730875185,2.211594347834457,1.7748164989595012,1.196905172060567,1.4831565977164105
Ccl9,1.0313030781334611,1.3627921481742038,1.4445744508637903,0.9650405033714224,0.9878694803828962
Cd200r3,1.3577356379856382,1.2608905315357846,1.3815229625824057,1.2730400934280135,1.2252649033992349
Cd200r4,1.0350465097958743,1.1402687103853937,0.9273285921214054,0.9683953377788448,1.11087922444815
Cd244,0.4435694464386929,0.5506762343526601,0.5084631234007385,0.4114600457860243,0.3593017274402577
Cd53,1.5369400674382292,1.7865071766765603,1.7106623049591327,1.3515674809507954,1.6198955651490827
Cd55,0.8252479898224495,0.7912397054833782,0.5068889427189875,1.0392035204341763,0.8497844555518135
Cd63,0.9533750618644772,0.8649265526547747,0.7966502186161678,0.8438322054075122,0.8507944894594125
Cd84,0.6106673299840686,0.9239660256252156,0.9343246704344416,0.5999497412142609,0.7334604747775677
Cdh1,1.215335178089963,1.713636055753275,1.5994427182943305,0.8809471662220456,1.1928232011693851
Cdh17,0.7500660087568585,0.9447179877902736,0.932412967383667,0.7332586680123945,0.7153302616753855
Cebpd,-0.3254580991456825,-0.5862114033016277,-0.542509107790352,-0.4189063810770966,-0.3507300830716869
Cish,0.5594266111746067,0.4405752058953813,0.5263819506146572,0.6022269834723983,0.4726093614085473
Cma1,-0.4101044446061541,-1.4750029015887391,-1.982902837679918,0.2450937656395723,-0.8821537586778814
Cpa3,1.0736621162022355,1.1591347938069771,0.860460062439284,1.3379423257536598,0.9729511182748574
Creb3l2,0.4668810005852194,0.4050672247586207,0.5607471112442716,0.5311423435099604,0.4819420736019627
Crip1,0.8849663143943938,1.0805353751935385,1.315210863615621,0.9356756089041928,0.9916306549651543
Crisp1,0.5625964057143524,0.6884416485206151,0.6598415963756772,0.5710021205146592,0.5482305367740425
Csf1,0.5333234380409735,0.8990686757567218,0.4940060216715343,0.5264975739205954,0.4899912196430196
Csf2rb,1.2890857350432814,1.5591363127297069,1.367487319204575,1.2048096353541975,1.1125737346689148
Csf2rb2,1.4229435459690705,1.649239451088642,1.4661563372527573,1.3765311039240324,1.3699226995609752
Ctla2a,0.7881248113405103,0.8218995190872034,0.5791020563068822,0.7422621801497449,0.8650645679360643
Ctsc,-0.8635272422246617,-0.4549038973667819,-0.4657537180570789,-1.0144358209111064,-0.95945192898553
Cxcr2,0.8073135376541014,0.9993560356620534,0.5814876826771821,0.6750666316540197,0.8567987751290186
Cybb,-0.3594339524796683,-0.3506563850264406,-0.7084411783605173,-0.3609233565592707,-0.5005978661149795
Cyp11a1,1.4514137555152191,1.5852783804906898,1.674420922955465,1.4008750158177383,1.4840869982293183
Cyp4f18,0.4318168340342751,0.4971383147221244,0.5655659922613523,0.4026961193369021,0.5319585282945948
